Event	ID	Name			Wwise Object Path	Notes
	69826211	Resume_All_Audio			\Music Work Unit\Music Events\Resume_All_Audio	
	90032633	Play_Answer_Do_Humans_Glow_YesOrNo			\Andy VO Work Unit\Vertical Slice\StoryVO\Story_Callbacks\Play_Answer_Do_Humans_Glow_YesOrNo	
	101849675	WinStreak_Add_1			\Andy VO Work Unit\Vertical Slice\RandomEncounterVO\WinStreak_Add_1	
	157000773	STG_Cheer			\Music Work Unit\Music Events\STG_Cheer	
	215429490	Warmup05_LateTip			\Andy VO Work Unit\Production 2\Training Run\Wrapper\Warmup05_LateTip	
	291740748	play_Test_Event_01_Mid			\Default Work Unit\Test Events\play_Test_Event_01_Mid	
	393067410	SFX_Pickup_ChallengeTimer			\Andy VO Work Unit\Production 2\Items\SFX_Pickup_ChallengeTimer	
	432279306	Pause_All_Audio			\Music Work Unit\Music Events\Pause_All_Audio	
	452547817	Stop_All			\Default Work Unit\Stop_All	
	466600945	Play_MainStoryVO			\Andy VO Work Unit\Vertical Slice\StoryVO\Play_MainStoryVO	
	504068591	Warmup07_GoodbyeDorian			\Andy VO Work Unit\Production 2\Training Run\Wrapper\Warmup07_GoodbyeDorian	
	515164994	play_Test_Event_02_Hi			\Default Work Unit\Test Events\play_Test_Event_02_Hi	
	523367001	WinStreak_Add_Point5			\Andy VO Work Unit\Vertical Slice\RandomEncounterVO\WinStreak_Add_Point5	
	539849989	Play_CurrentPlayersTopPercent			\Andy VO Work Unit\Production 2\GroupVO\Play_CurrentPlayersTopPercent	
	582275352	play_Test_Event_02_Lo			\Default Work Unit\Test Events\play_Test_Event_02_Lo	
	620417632	Cooldown03_EarlyTip			\Andy VO Work Unit\Production 2\Training Run\Wrapper\Cooldown03_EarlyTip	
	647339382	SFX_Pickup_HarmonyNote			\Andy VO Work Unit\Production 2\Items\SFX_Pickup_HarmonyNote	
	668058950	Callback_MC_Start			\Andy VO Work Unit\Production 2\Mission Control\Callback_MC_Start	
	682720379	Advance_MainStoryVO			\Andy VO Work Unit\Vertical Slice\StoryVO\Advance_MainStoryVO	
	702335090	Warmup02_Start			\Andy VO Work Unit\Production 2\Training Run\Wrapper\Warmup02_Start	
	739257304	Resume_FreeRun			\Music Work Unit\Music Events\Resume_FreeRun	
	746771956	Continue_MainStoryVO			\Andy VO Work Unit\Vertical Slice\StoryVO\Continue_MainStoryVO	
	761824012	YesNo_Listening_Stop			\Andy VO Work Unit\Vertical Slice\StoryVO\YesNo_Listening_Stop	
	812563830	play_Test_Event_03_Mid			\Default Work Unit\Test Events\play_Test_Event_03_Mid	
	817280340	AVG_Length_01min			\Andy VO Work Unit\Production 2\Training Run\TR Task Type Pace\AVG_Length_01min	
	1119243474	Play_CurrentPlayersTeam			\Andy VO Work Unit\Production 2\GroupVO\Play_CurrentPlayersTeam	
	1169159231	Play_Answer_Do_You_Have_Tentacles_YesOrNo			\Andy VO Work Unit\Vertical Slice\StoryVO\Story_Callbacks\Play_Answer_Do_You_Have_Tentacles_YesOrNo	
	1190460341	Stop_FreeRun			\Music Work Unit\Music Events\Stop_FreeRun	
	1245732123	Pause_MainStoryVO			\Andy VO Work Unit\Vertical Slice\StoryVO\Pause_MainStoryVO	
	1251645620	MUS_StorySwitch_BackseatDrums			\Music Work Unit\Music Events\Story Music\MUS_StorySwitch_BackseatDrums	
	1326785954	Stop_All_Audio			\Music Work Unit\Music Events\Stop_All_Audio	
