Event	ID	Name			Wwise Object Path	Notes
	23196849	Tracking0_STOP			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\Callback Events\Tracking0_STOP	
	47315993	Resume_Mixie			\Music Work Unit\Music Events\Resume_Mixie	
	147888878	Disaster01_Checkpoint_Fail_GEN_Section			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\Disaster01\Disaster01_Checkpoint_Fail_GEN_Section	
	157288233	Play_Fitness_Mission_01			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_Mission_01	
	157288234	Play_Fitness_Mission_02			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_Mission_02	
	157288235	Play_Fitness_Mission_03			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_Mission_03	
	157288236	Play_Fitness_Mission_04			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_Mission_04	
	157288237	Play_Fitness_Mission_05			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_Mission_05	
	157288238	Play_Fitness_Mission_06			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_Mission_06	
	253182801	Temp_CallbackTrackingStop_02			\Music Work Unit\Music Events\Training Run\Temp_CallbackTrackingStop_02	
	253182802	Temp_CallbackTrackingStop_01			\Music Work Unit\Music Events\Training Run\Temp_CallbackTrackingStop_01	
	253182803	Temp_CallbackTrackingStop_00			\Music Work Unit\Music Events\Training Run\Temp_CallbackTrackingStop_00	
	257865794	Mixie_Mission_Describe_Grammar			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\Mixie_Mission_Describe_Grammar	
	271741444	Disaster03_Checkpoint_Win_GEN_Section			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\Disaster03\Disaster03_Checkpoint_Win_GEN_Section	
	346526449	Disaster03_Checkpoint_Win_INT			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\Disaster03\Disaster03_Checkpoint_Win_INT	
	383819906	SetState_Disaster_Quake			\Music Work Unit\Music Events\Training Run\SetState_Disaster_Quake	
	387986648	Play_Fitness_ActionUpdate_03			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_ActionUpdate_03	
	387986649	Play_Fitness_ActionUpdate_02			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_ActionUpdate_02	
	387986650	Play_Fitness_ActionUpdate_01			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_ActionUpdate_01	
	391611271	Disaster03_Start_AVG			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\Disaster03\Disaster03_Start_AVG	
	436769472	Play_Hope_TimeRemaining			\Andy VO Work Unit\Production 2\Training Run\Play_Hope_TimeRemaining	
	448894420	Disaster02_Checkpoint_Fail_INT			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\Disaster02\Disaster02_Checkpoint_Fail_INT	
	452803535	Play_Fitness_Mission_End			\Andy VO Work Unit\Production 2\Training Run\Play_Fitness_Mission_End	
	502480012	ActionLines_Pre3rdTask			\Andy VO Work Unit\Production 2\Training Run\TR Mission Mixie 1\ActionLines\ActionLines_Pre3rdTask	
